Entity,Code,Date,grocery_and_pharmacy
Afghanistan,AFG,2020-02-17,4
Afghanistan,AFG,2020-02-18,4.25
Afghanistan,AFG,2020-02-19,4
Afghanistan,AFG,2020-02-20,3.833
Afghanistan,AFG,2020-02-21,4.571
Afghanistan,AFG,2020-02-22,6.714
Afghanistan,AFG,2020-02-23,6
Afghanistan,AFG,2020-02-24,6.286
Afghanistan,AFG,2020-02-25,6.286
Afghanistan,AFG,2020-02-26,6.571
Afghanistan,AFG,2020-02-27,6.143
Afghanistan,AFG,2020-02-28,5.571
Afghanistan,AFG,2020-02-29,5
Afghanistan,AFG,2020-03-01,5.571
Afghanistan,AFG,2020-03-02,4.714
Afghanistan,AFG,2020-03-03,4.857
Afghanistan,AFG,2020-03-04,4.714
Afghanistan,AFG,2020-03-05,5.429
Afghanistan,AFG,2020-03-06,6
Afghanistan,AFG,2020-03-07,6.571
Afghanistan,AFG,2020-03-08,6.286
Afghanistan,AFG,2020-03-09,3.857
Afghanistan,AFG,2020-03-10,3
Afghanistan,AFG,2020-03-11,2.286
Afghanistan,AFG,2020-03-12,1
Afghanistan,AFG,2020-03-13,1
Afghanistan,AFG,2020-03-14,0.571
Afghanistan,AFG,2020-03-15,1.143
Afghanistan,AFG,2020-03-16,4.571
Afghanistan,AFG,2020-03-17,5.429
Afghanistan,AFG,2020-03-18,6.571
Afghanistan,AFG,2020-03-19,7.571
Afghanistan,AFG,2020-03-20,6.429
Afghanistan,AFG,2020-03-21,4.286
Afghanistan,AFG,2020-03-22,3.857
Afghanistan,AFG,2020-03-23,2.857
Afghanistan,AFG,2020-03-24,2
Afghanistan,AFG,2020-03-25,0.857
Afghanistan,AFG,2020-03-26,0.429
Afghanistan,AFG,2020-03-27,1
Afghanistan,AFG,2020-03-28,0
Afghanistan,AFG,2020-03-29,-4.286
Afghanistan,AFG,2020-03-30,-8.857
Afghanistan,AFG,2020-03-31,-13
Afghanistan,AFG,2020-04-01,-16.286
Afghanistan,AFG,2020-04-02,-19.857
Afghanistan,AFG,2020-04-03,-22.429
Afghanistan,AFG,2020-04-04,-22.429
