Entity,Code,Date,residential
Afghanistan,AFG,2020-02-17,1.333
Afghanistan,AFG,2020-02-18,0.75
Afghanistan,AFG,2020-02-19,0.8
Afghanistan,AFG,2020-02-20,0.833
Afghanistan,AFG,2020-02-21,0.714
Afghanistan,AFG,2020-02-22,0
Afghanistan,AFG,2020-02-23,0.143
Afghanistan,AFG,2020-02-24,0.286
Afghanistan,AFG,2020-02-25,0.429
Afghanistan,AFG,2020-02-26,0.429
Afghanistan,AFG,2020-02-27,0.571
Afghanistan,AFG,2020-02-28,0.857
Afghanistan,AFG,2020-02-29,1
Afghanistan,AFG,2020-03-01,0.857
Afghanistan,AFG,2020-03-02,0.714
Afghanistan,AFG,2020-03-03,0.714
Afghanistan,AFG,2020-03-04,0.714
Afghanistan,AFG,2020-03-05,0.571
Afghanistan,AFG,2020-03-06,0.429
Afghanistan,AFG,2020-03-07,0.429
Afghanistan,AFG,2020-03-08,0.429
Afghanistan,AFG,2020-03-09,1.429
Afghanistan,AFG,2020-03-10,1.571
Afghanistan,AFG,2020-03-11,1.571
Afghanistan,AFG,2020-03-12,1.571
Afghanistan,AFG,2020-03-13,1.429
Afghanistan,AFG,2020-03-14,1.286
Afghanistan,AFG,2020-03-15,1.286
Afghanistan,AFG,2020-03-16,0.571
Afghanistan,AFG,2020-03-17,0.429
Afghanistan,AFG,2020-03-18,0.429
Afghanistan,AFG,2020-03-19,0.571
Afghanistan,AFG,2020-03-20,0.714
Afghanistan,AFG,2020-03-21,1.571
Afghanistan,AFG,2020-03-22,1.714
Afghanistan,AFG,2020-03-23,1.857
Afghanistan,AFG,2020-03-24,2.286
Afghanistan,AFG,2020-03-25,3
Afghanistan,AFG,2020-03-26,3.714
Afghanistan,AFG,2020-03-27,4.286
Afghanistan,AFG,2020-03-28,5
Afghanistan,AFG,2020-03-29,6.286
Afghanistan,AFG,2020-03-30,7.571
Afghanistan,AFG,2020-03-31,8.857
Afghanistan,AFG,2020-04-01,9.571
Afghanistan,AFG,2020-04-02,10.429
Afghanistan,AFG,2020-04-03,10.571
Afghanistan,AFG,2020-04-04,10.429
Afghanistan,AFG,2020-04-05,10.714
Afghanistan,AFG,2020-04-06,10.714
Afghanistan,AFG,2020-04-07,10.429
Afghanistan,AFG,2020-04-08,10.857
Afghanistan,AFG,2020-04-09,11.429
Afghanistan,AFG,2020-04-10,12.143
Afghanistan,AFG,2020-04-11,13
Afghanistan,AFG,2020-04-12,13.429
Afghanistan,AFG,2020-04-13,13.857
Afghanistan,AFG,2020-04-14,14.571
Afghanistan,AFG,2020-04-15,14.571
Afghanistan,AFG,2020-04-16,14.429
Afghanistan,AFG,2020-04-17,14.429
Afghanistan,AFG,2020-04-18,14.143
Afghanistan,AFG,2020-04-19,13.857
Afghanistan,AFG,2020-04-20,13.571
Afghanistan,AFG,2020-04-21,13
Afghanistan,AFG,2020-04-22,12.571
Afghanistan,AFG,2020-04-23,12.143
Afghanistan,AFG,2020-04-24,12.571
Afghanistan,AFG,2020-04-25,13.143
Afghanistan,AFG,2020-04-26,13.714
Afghanistan,AFG,2020-04-27,14.286
Afghanistan,AFG,2020-04-28,14.571
Afghanistan,AFG,2020-04-29,15
Afghanistan,AFG,2020-04-30,15.571
Afghanistan,AFG,2020-05-01,15.429
Afghanistan,AFG,2020-05-02,15.143
Afghanistan,AFG,2020-05-03,15
Afghanistan,AFG,2020-05-04,14.714
Afghanistan,AFG,2020-05-05,15
Afghanistan,AFG,2020-05-06,15.143
Afghanistan,AFG,2020-05-07,15
Afghanistan,AFG,2020-05-08,14.571
Afghanistan,AFG,2020-05-09,14
Afghanistan,AFG,2020-05-10,13.714
Afghanistan,AFG,2020-05-11,13.429
Afghanistan,AFG,2020-05-12,13.143
Afghanistan,AFG,2020-05-13,12.857
Afghanistan,AFG,2020-05-14,12.429
Afghanistan,AFG,2020-05-15,12.429
Afghanistan,AFG,2020-05-16,12.429
Afghanistan,AFG,2020-05-17,12.286
Afghanistan,AFG,2020-05-18,12.143
Afghanistan,AFG,2020-07-03,10.857
Afghanistan,AFG,2020-07-04,9.857
Afghanistan,AFG,2020-07-05,9
Afghanistan,AFG,2020-07-06,8.286
Afghanistan,AFG,2020-07-07,7.286
Afghanistan,AFG,2020-07-08,6.143
Afghanistan,AFG,2020-07-09,5.286
Afghanistan,AFG,2020-07-10,5.286
Afghanistan,AFG,2020-07-11,5.143
Afghanistan,AFG,2020-07-12,5
Afghanistan,AFG,2020-07-13,4.857
Afghanistan,AFG,2020-07-14,4.857
Afghanistan,AFG,2020-07-15,4.857
Afghanistan,AFG,2020-07-16,4.857
Afghanistan,AFG,2020-07-17,4.714
Afghanistan,AFG,2020-07-18,4.571
Afghanistan,AFG,2020-07-19,4.286
Afghanistan,AFG,2020-07-20,4.286
Afghanistan,AFG,2020-07-21,4.143
Afghanistan,AFG,2020-07-22,4
Afghanistan,AFG,2020-07-23,4
Afghanistan,AFG,2020-07-24,4
Afghanistan,AFG,2020-07-25,4
Afghanistan,AFG,2020-07-26,4
Afghanistan,AFG,2020-07-27,3.714
Afghanistan,AFG,2020-07-28,3.286
Afghanistan,AFG,2020-07-29,3
Afghanistan,AFG,2020-07-30,3.429
Afghanistan,AFG,2020-07-31,3.429
Afghanistan,AFG,2020-08-01,4.286
Afghanistan,AFG,2020-08-02,5
Afghanistan,AFG,2020-08-03,5.286
Afghanistan,AFG,2020-08-04,5.429
