Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sweden,Consumer Confidence,1993-01-31T00:00:00,43.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1993-02-28T00:00:00,51.6,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1993-03-31T00:00:00,50.9,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,1993-04-30T00:00:00,54.6,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1993-05-31T00:00:00,59.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1993-06-30T00:00:00,60.6,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,1993-07-31T00:00:00,67.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1993-08-31T00:00:00,69.4,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,1993-09-30T00:00:00,66.4,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,1993-10-31T00:00:00,63.6,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,1993-11-30T00:00:00,72.5,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,1993-12-31T00:00:00,76.5,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1994-01-31T00:00:00,81,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,1994-02-28T00:00:00,84.2,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1994-03-31T00:00:00,92.5,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1994-04-30T00:00:00,92.2,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,1994-05-31T00:00:00,89.5,Monthly,SWECCI,2020-08-27T08:06:00
