Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sweden,Consumer Spending,1981-03-31T00:00:00,260258,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1981-06-30T00:00:00,261545,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1981-09-30T00:00:00,261656,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1981-12-31T00:00:00,260607,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1982-03-31T00:00:00,263985,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1982-06-30T00:00:00,263724,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1982-09-30T00:00:00,262528,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1982-12-31T00:00:00,263641,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1983-03-31T00:00:00,257421,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1983-06-30T00:00:00,257018,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1983-09-30T00:00:00,258993,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1983-12-31T00:00:00,260174,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1984-03-31T00:00:00,262053,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1984-06-30T00:00:00,262942,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1984-09-30T00:00:00,264053,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1984-12-31T00:00:00,264423,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1985-03-31T00:00:00,268980,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1985-06-30T00:00:00,268652,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1985-09-30T00:00:00,269236,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1985-12-31T00:00:00,271947,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1986-03-31T00:00:00,275242,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1986-06-30T00:00:00,279025,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1986-09-30T00:00:00,286478,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1986-12-31T00:00:00,288833,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1987-03-31T00:00:00,290319,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1987-06-30T00:00:00,298217,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1987-09-30T00:00:00,296381,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1987-12-31T00:00:00,301670,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1988-03-31T00:00:00,305831,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1988-06-30T00:00:00,302825,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1988-09-30T00:00:00,306677,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1988-12-31T00:00:00,305695,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1989-03-31T00:00:00,306360,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1989-06-30T00:00:00,309214,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1989-09-30T00:00:00,309450,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1989-12-31T00:00:00,312549,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
Sweden,Consumer Spending,1990-03-31T00:00:00,310565,Quarterly,SWEDENCONSPE,2020-08-28T10:53:00
