Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sweden,GDP,1960-12-31T00:00:00,15.82,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1961-12-31T00:00:00,17.21,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1962-12-31T00:00:00,18.67,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1963-12-31T00:00:00,20.2,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1964-12-31T00:00:00,22.53,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1965-12-31T00:00:00,24.8,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1966-12-31T00:00:00,26.97,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1967-12-31T00:00:00,29.28,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1968-12-31T00:00:00,31.07,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1969-12-31T00:00:00,33.74,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1970-12-31T00:00:00,38.09,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1971-12-31T00:00:00,41.57,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1972-12-31T00:00:00,48.95,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1973-12-31T00:00:00,59.4,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1974-12-31T00:00:00,66.01,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1975-12-31T00:00:00,82.89,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1976-12-31T00:00:00,89.36,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1977-12-31T00:00:00,94.47,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1978-12-31T00:00:00,104.44,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1979-12-31T00:00:00,123.39,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1980-12-31T00:00:00,142.09,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1981-12-31T00:00:00,129.69,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1982-12-31T00:00:00,114.38,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1983-12-31T00:00:00,105.01,Yearly,WGDPSWED,2020-07-02T14:51:00
Sweden,GDP,1984-12-31T00:00:00,109.2,Yearly,WGDPSWED,2020-07-02T14:51:00
