Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Taiwan,Consumer Confidence,1999-01-31T00:00:00,78.49,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,1999-04-30T00:00:00,91.71,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,1999-07-31T00:00:00,90.97,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,1999-10-31T00:00:00,89.15,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2000-01-31T00:00:00,97.52,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2000-04-30T00:00:00,89.78,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2000-07-31T00:00:00,81.28,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2000-10-31T00:00:00,69.05,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-01-31T00:00:00,70.38,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-02-28T00:00:00,73.85,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-03-31T00:00:00,71.77,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-04-30T00:00:00,68.46,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-05-31T00:00:00,62.43,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-06-30T00:00:00,62.41,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-07-31T00:00:00,62.71,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-08-31T00:00:00,62.97,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-09-30T00:00:00,58.09,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-10-31T00:00:00,59.01,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-11-30T00:00:00,60.91,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2001-12-31T00:00:00,75.88,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-01-31T00:00:00,75.95,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-02-28T00:00:00,78.38,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-03-31T00:00:00,77.74,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-04-30T00:00:00,80.64,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-05-31T00:00:00,78.78,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-06-30T00:00:00,76.14,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-07-31T00:00:00,74.46,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-08-31T00:00:00,73.68,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-09-30T00:00:00,74.48,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-10-31T00:00:00,72.66,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-11-30T00:00:00,71.25,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2002-12-31T00:00:00,71.31,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-01-31T00:00:00,77.73,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-02-28T00:00:00,79.06,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-03-31T00:00:00,78.82,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-04-30T00:00:00,73.21,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-05-31T00:00:00,72.34,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-06-30T00:00:00,73.13,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-07-31T00:00:00,77.9,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-08-31T00:00:00,79.07,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-09-30T00:00:00,78.87,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-10-31T00:00:00,85.4,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-11-30T00:00:00,83.84,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2003-12-31T00:00:00,82.98,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-01-31T00:00:00,82.44,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-02-29T00:00:00,83.7,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-03-31T00:00:00,79.52,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-04-30T00:00:00,79.17,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-05-31T00:00:00,75.57,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-06-30T00:00:00,76.95,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-07-31T00:00:00,75.86,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-08-31T00:00:00,73.86,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-09-30T00:00:00,75.68,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-10-31T00:00:00,75.27,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-11-30T00:00:00,77.42,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2004-12-31T00:00:00,77.13,Monthly,TaiiwanCondence,2013-09-24T15:08:00
