Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Taiwan,GDP,1980-12-31T00:00:00,42.3,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1981-12-31T00:00:00,48.99,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1982-12-31T00:00:00,49.55,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1983-12-31T00:00:00,54.16,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1984-12-31T00:00:00,61.09,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1985-12-31T00:00:00,63.64,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1986-12-31T00:00:00,78.23,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1987-12-31T00:00:00,105.04,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1988-12-31T00:00:00,126.46,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1989-12-31T00:00:00,152.73,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1990-12-31T00:00:00,166.85,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1991-12-31T00:00:00,187.35,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1992-12-31T00:00:00,223.12,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1993-12-31T00:00:00,236.54,Yearly,TaiwanGDP,2020-02-04T12:31:00
Taiwan,GDP,1994-12-31T00:00:00,256.44,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1995-12-31T00:00:00,279.27,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1996-12-31T00:00:00,292.69,Yearly,TaiwanGDP,2019-04-08T16:32:00
Taiwan,GDP,1997-12-31T00:00:00,303.71,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1998-12-31T00:00:00,280.41,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,1999-12-31T00:00:00,304.17,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2000-12-31T00:00:00,331.41,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2001-12-31T00:00:00,300.42,Yearly,TaiwanGDP,2019-04-08T16:32:00
Taiwan,GDP,2002-12-31T00:00:00,308.88,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2003-12-31T00:00:00,318.6,Yearly,TaiwanGDP,2019-04-08T16:32:00
Taiwan,GDP,2004-12-31T00:00:00,348.52,Yearly,TaiwanGDP,2019-04-08T16:32:00
Taiwan,GDP,2005-12-31T00:00:00,375.79,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2006-12-31T00:00:00,388.55,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2007-12-31T00:00:00,408.22,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2008-12-31T00:00:00,417.04,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2009-12-31T00:00:00,392.11,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2010-12-31T00:00:00,446.14,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2011-12-31T00:00:00,485.67,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2012-12-31T00:00:00,495.92,Yearly,TaiwanGDP,2016-01-21T12:37:00
Taiwan,GDP,2013-12-31T00:00:00,511.6,Yearly,TaiwanGDP,2018-01-10T17:24:00
Taiwan,GDP,2014-12-31T00:00:00,530.52,Yearly,TaiwanGDP,2018-01-10T17:24:00
Taiwan,GDP,2015-12-31T00:00:00,525.6,Yearly,TaiwanGDP,2018-08-21T15:19:00
Taiwan,GDP,2016-12-31T00:00:00,531.36,Yearly,TaiwanGDP,2019-07-02T10:06:00
Taiwan,GDP,2017-12-31T00:00:00,574.9,Yearly,TaiwanGDP,2019-07-02T10:06:00
Taiwan,GDP,2018-12-31T00:00:00,589.91,Yearly,TaiwanGDP,2020-02-04T12:31:00
Taiwan,GDP,2019-12-31T00:00:00,605,Yearly,TaiwanGDP,2020-03-06T16:53:00
